"DateUsedForStatisticsYear","DateUsedForStatisticsISO","weekly_rainfll_mean","wekly_temp_mean","ILI_per_100000_00_04","ILI_per_100000_05_14","ILI_per_100000_15_64","ILI_per_100000_65_plus","ILINumberOfCases_per_100000"
2007,"2007-W23",1.27841456219903,14.2357784611363,"0","0","0.896579549","0","0.614779294"
2007,"2007-W24",2.67677982709495,14.8815140078462,"8.622176237","0","1.793159098","0","1.844337883"
2007,"2007-W25",2.42360127998202,14.1944485031145,"0","0","0.922322038","0","0.632439064"
2007,"2007-W26",2.91967379387986,12.7815476643928,"0","0","0.896579549","0","0.614790633"
2007,"2007-W27",3.51826035215566,13.5899630470199,"0","0","4.247871816","5.276766398","3.495322094"
2007,"2007-W28",3.88299712451924,13.698723274044,"8.257638315","0","0.858575452","0","1.177461041"
2007,"2007-W29",2.54323345093029,14.1636934327526,"0","0","3.611999061","0","2.47676485"
2007,"2007-W30",2.27230361312569,14.7882505551305,"0","0","0.888202013","0","0.609043072"
2007,"2007-W31",1.94548185423172,14.9130118139187,"0","0","2.506370358","0","1.718626474"
2007,"2007-W32",4.44640351714452,14.0277934927408,"0","0","0.835456786","0","0.572875491"
2007,"2007-W33",4.95874216377133,13.761810390983,"0","0","0.846704204","0","0.580588601"
2007,"2007-W34",0.979791820474746,14.4925866815144,"0","0","0","0","0"
2007,"2007-W35",0.201014965802526,14.1516706273608,"0","0","2.506370358","0","1.72059785"
2007,"2007-W36",0.572242956585089,14.6626116366237,"0","0","1.670913572","5.18914431","1.718626474"
2007,"2007-W37",0.446045415526592,14.4060148089647,"9.070294785","0","2.829227809","0","2.586686325"
2007,"2007-W38",3.72262539484343,13.2271152291082,"0","0","2.528679439","0","1.733923638"
2007,"2007-W39",1.3843657596762,11.347191975667,"0","4.564959372","7.061897532","10.96551346","6.658273207"
2007,"2007-W40",1.1098547260914,12.8323210072842,"0","0","7.519111074","5.18914431","5.728722094"
2007,"2007-W41",1.03048509446044,13.2457819999967,"8.034709947","0","9.190024646","5.18914431","7.447338722"
2007,"2007-W42",1.11991106575992,11.6255448517979,"16.06941989","0","5.848197502","0","5.155849885"
2007,"2007-W43",2.33667380642527,12.4108604812062,"0","8.640428565","9.190024646","0","7.447338722"
2007,"2007-W44",1.83454080938856,11.6577465050233,"0","4.378475415","5.080225223","5.259006048","4.644681839"
2007,"2007-W45",0.393901704461072,10.5364175437576,"8.034709947","21.60107141","10.86093822","0","10.88457198"
2007,"2007-W46",2.39532751244316,9.79819836807637,"7.653451707","0","7.957918527","4.942665085","6.548109506"
2007,"2007-W47",3.85654370891859,7.71894055974332,"15.73935626","0","5.728079866","0","5.049966614"
2007,"2007-W48",4.02143103438456,9.87663738227471,"16.28399284","0","15.23899829","10.51690593","12.77146622"
2007,"2007-W49",7.60758114591228,9.64309296607625,"7.653451707","0","10.34529408","4.942665085","8.185136883"
2007,"2007-W50",2.47436684973902,8.88184622413845,"7.841292245","4.216384872","10.59978474","5.064316824","8.945544001"
2007,"2007-W51",0.414498356993528,6.42940752521385,"7.938398031","4.26857899","12.38175425","15.38067162","11.32022074"
